type,name,date,location,participants,organizer,source_url
Conference,International AI Conference 2025,2025-06-15,Moscow,250,MSU,https://example.com/ai2025
Olympiad,Student Physics Olympiad,2025-03-22,Novosibirsk,120,NSU,https://example.com/physics-olymp
Seminar,Nanotechnology in Medicine Seminar,2025-04-12,Saint Petersburg,80,SPbU,https://example.com/nanohealth
Conference,Bioinformatics Summit 2025,2025-05-10,Kazan,180,KFU,https://example.com/bioinfo2025
Seminar,Climate Change Strategies,2025-06-05,Yekaterinburg,90,UrFU,https://example.com/climate-seminar
Olympiad,IT Challenge for Students,2025-04-20,Tomsk,130,TSU,https://example.com/it-challenge
Conference,Quantum Technologies Forum,2025-07-01,Moscow,300,Skoltech,https://example.com/quantumforum
Seminar,Robotics and AI Applications,2025-08-18,Krasnoyarsk,75,SibFU,https://example.com/robotai
Olympiad,Chemistry Genius Cup,2025-03-15,Omsk,110,OmSU,https://example.com/chemcup
Conference,Sustainable Energy Conference,2025-09-09,Samara,220,SSAU,https://example.com/energyconf
Seminar,Data Ethics and AI,2025-10-21,Perm,60,PSU,https://example.com/dataethics
Olympiad,Mathematics Excellence Olympiad,2025-02-12,Rostov-on-Don,145,SFedU,https://example.com/matholymp
Conference,Neuroscience and Psychology Forum,2025-11-05,Voronezh,200,VSU,https://example.com/neuroforum
Conference,Science Forum #1,2025-10-22,Moscow,129,UrFU,https://example.com/event1
Conference,Science Forum #2,2025-01-10,Yekaterinburg,407,TSU,https://example.com/event2
Olympiad,Science Forum #3,2025-03-23,Moscow,422,KFU,https://example.com/event3
Olympiad,Innovation Congress #4,2025-03-20,Moscow,286,UrFU,https://example.com/event4
Seminar,Innovation Congress #5,2025-04-21,Novosibirsk,423,TSU,https://example.com/event5
Conference,Future Tech Expo #6,2025-04-01,Novosibirsk,261,MSU,https://example.com/event6
Olympiad,Science Forum #7,2025-03-22,Yekaterinburg,322,MSU,https://example.com/event7
Seminar,Future Tech Expo #8,2025-05-11,Kazan,380,MSU,https://example.com/event8
Seminar,Science Forum #9,2025-04-16,Moscow,402,MSU,https://example.com/event9
Seminar,Innovation Congress #10,2025-07-02,Saint Petersburg,131,KFU,https://example.com/event10
Seminar,Science Forum #11,2025-04-30,Yekaterinburg,59,MSU,https://example.com/event11
Conference,Science Forum #12,2025-06-21,Yekaterinburg,75,NSU,https://example.com/event12
Conference,Innovation Congress #13,2025-07-22,Yekaterinburg,439,SPbU,https://example.com/event13
Olympiad,Science Forum #14,2025-08-23,Saint Petersburg,327,SPbU,https://example.com/event14
Seminar,Science Forum #15,2025-02-16,Novosibirsk,290,MSU,https://example.com/event15
Conference,Science Forum #16,2025-11-02,Kazan,170,KFU,https://example.com/event16
Seminar,Science Forum #17,2025-01-24,Yekaterinburg,362,NSU,https://example.com/event17
Seminar,Future Tech Expo #18,2025-02-09,Yekaterinburg,193,MSU,https://example.com/event18
Conference,Innovation Congress #19,2025-06-17,Kazan,128,MSU,https://example.com/event19
Seminar,Science Forum #20,2025-07-23,Yekaterinburg,484,TSU,https://example.com/event20
Conference,Innovation Congress #21,2025-06-23,Novosibirsk,459,NSU,https://example.com/event21
Olympiad,Science Forum #22,2025-01-10,Novosibirsk,442,TSU,https://example.com/event22
Seminar,Science Forum #23,2025-08-25,Yekaterinburg,221,MSU,https://example.com/event23
Olympiad,Science Forum #24,2025-04-11,Moscow,442,MSU,https://example.com/event24
Olympiad,Innovation Congress #25,2025-09-29,Novosibirsk,197,UrFU,https://example.com/event25
Olympiad,Innovation Congress #26,2025-12-29,Moscow,275,UrFU,https://example.com/event26
Olympiad,Future Tech Expo #27,2025-12-02,Saint Petersburg,382,SPbU,https://example.com/event27
Seminar,Innovation Congress #28,2025-05-19,Novosibirsk,57,KFU,https://example.com/event28
Conference,Innovation Congress #29,2025-07-30,Yekaterinburg,272,TSU,https://example.com/event29
Seminar,Innovation Congress #30,2025-10-19,Saint Petersburg,194,NSU,https://example.com/event30
Olympiad,Innovation Congress #31,2025-08-30,Yekaterinburg,68,MSU,https://example.com/event31
Seminar,Innovation Congress #32,2025-09-11,Novosibirsk,70,NSU,https://example.com/event32
Seminar,Science Forum #33,2025-01-13,Yekaterinburg,348,SPbU,https://example.com/event33
Conference,Innovation Congress #34,2025-11-27,Yekaterinburg,266,MSU,https://example.com/event34
Seminar,Future Tech Expo #35,2025-12-01,Saint Petersburg,184,UrFU,https://example.com/event35
Olympiad,Future Tech Expo #36,2025-09-08,Saint Petersburg,55,UrFU,https://example.com/event36
Seminar,Innovation Congress #37,2025-06-14,Yekaterinburg,173,KFU,https://example.com/event37
